feature,importance
jobType_JANITOR,0.23625612833935922
yearsExperience,0.18691922454162202
milesFromMetropolis,0.12924985432259747
jobType_JUNIOR,0.08255790921241249
major_NONE,0.072943581641801
jobType_SENIOR,0.049101227713348336
jobType_CEO,0.037032925825619206
industry_EDUCATION,0.03004827487859619
industry_FINANCE,0.026562203285156794
industry_OIL,0.02383868812107462
jobType_MANAGER,0.02191720411621441
industry_SERVICE,0.01727465295859611
degree_DOCTORAL,0.014623476599322133
jobType_CTO,0.011650486568892969
jobType_CFO,0.0100617218951464
industry_AUTO,0.008474798237254503
industry_WEB,0.007955077031988209
degree_NONE,0.005960505083788921
major_ENGINEERING,0.005768869818288866
degree_MASTERS,0.004665890583753542
major_BUSINESS,0.004242341862749622
industry_HEALTH,0.0023943917843214707
jobType_VICE_PRESIDENT,0.0023666637493641625
major_LITERATURE,0.0023173372832876083
major_MATH,0.0012902078249961858
degree_HIGH_SCHOOL,0.0009107793231678339
major_CHEMISTRY,0.0007469865483280697
major_BIOLOGY,0.0006582768926685397
degree_BACHELORS,0.0005062399650149835
major_PHYSICS,0.0004090207016796773
major_COMPSCI,0.00013729628121293458
companyId_COMP26,2.9445577261596255e-05
companyId_COMP36,2.907477666516782e-05
companyId_COMP30,2.7118809160322432e-05
companyId_COMP56,2.6875447718920392e-05
companyId_COMP23,2.37084459212486e-05
companyId_COMP62,2.3500499470823467e-05
companyId_COMP24,2.3295409489080874e-05
companyId_COMP59,2.317864034684812e-05
companyId_COMP9,2.2994242498182014e-05
companyId_COMP15,2.296352783800244e-05
companyId_COMP4,2.2917774163320697e-05
companyId_COMP6,2.2445164641889633e-05
companyId_COMP34,2.2287595121184434e-05
companyId_COMP2,2.2258449340925663e-05
companyId_COMP44,2.1923540999016517e-05
companyId_COMP19,2.165840221771781e-05
companyId_COMP17,2.161370832664513e-05
companyId_COMP38,2.1280063561556944e-05
companyId_COMP12,2.1172894180080193e-05
companyId_COMP55,2.1139768649651265e-05
companyId_COMP13,2.082438943578513e-05
companyId_COMP52,2.060958068155404e-05
companyId_COMP28,2.0570596254787285e-05
companyId_COMP16,1.971825651067919e-05
companyId_COMP53,1.922684038581102e-05
companyId_COMP21,1.919192216703574e-05
companyId_COMP32,1.8978632718357207e-05
companyId_COMP8,1.8912454682518678e-05
companyId_COMP3,1.879274044703523e-05
companyId_COMP39,1.860055171550279e-05
companyId_COMP27,1.849270652569502e-05
companyId_COMP49,1.8277195772386998e-05
companyId_COMP46,1.817653041193622e-05
companyId_COMP33,1.8031110862946997e-05
companyId_COMP60,1.7535538412632804e-05
companyId_COMP48,1.7501373303812955e-05
companyId_COMP18,1.735321715303857e-05
companyId_COMP25,1.7287193620610402e-05
companyId_COMP35,1.7113672514047465e-05
companyId_COMP42,1.6934685491247327e-05
companyId_COMP1,1.625028166870108e-05
companyId_COMP41,1.6246466394915113e-05
companyId_COMP47,1.602203018720281e-05
companyId_COMP14,1.5809207097923057e-05
companyId_COMP50,1.5748192758916368e-05
companyId_COMP51,1.5736317444193714e-05
companyId_COMP0,1.5387220135741796e-05
companyId_COMP7,1.536278552586503e-05
companyId_COMP57,1.5240921493007439e-05
companyId_COMP58,1.4803553084638381e-05
companyId_COMP11,1.4409969295525194e-05
companyId_COMP10,1.3894566741520073e-05
companyId_COMP61,1.3740973804408048e-05
companyId_COMP31,1.368784429896148e-05
companyId_COMP29,1.3214208228300983e-05
companyId_COMP37,1.3182339954288027e-05
companyId_COMP40,1.2903588589128916e-05
companyId_COMP22,1.186609663176921e-05
companyId_COMP54,1.1722206972313581e-05
companyId_COMP43,1.1669185534918712e-05
companyId_COMP20,1.1441713462608492e-05
companyId_COMP45,9.315498544218805e-06
companyId_COMP5,7.1199138869985764e-06
